Part ,Cost ,Link
Orpheus Picos,From hakclub,
Switches,24.89,https://www.aliexpress.us/item/3256807672423330.html?spm=a2g0o.cart.0.0.743b38dakZFZWR&mp=1&pdp_npi=5%40dis%21USD%21USD%2031.43%21USD%2029.37%21%21USD%2029.37%21%21%21%402103244417598774905091521e4540%2112000042566753023%21ct%21US%216288248210%21%211%210&_gl=1*805jf5*_gcl_au*MTI5NjAwNDU3OS4xNzU5NzE0OTk2*_ga*MTQ1MTc0MjA0Ny4xNzU5NzE2MTUw*_ga_VED1YSGNC7*czE3NTk4Nzc0NjYkbzckZzEkdDE3NTk4Nzc0OTEkajM1JGwwJGgw&gatewayAdapt=glo2usa
Diodes,1.34,https://www.aliexpress.us/item/3256807621334582.html?spm=a2g0o.cart.0.0.743b38dakZFZWR&mp=1&pdp_npi=5%40dis%21USD%21USD%201.38%21USD%201.34%21%21USD%201.34%21%21%21%402103244417598774905091521e4540%2112000042270438468%21ct%21US%216288248210%21%211%210&_gl=1*d5165w*_gcl_au*MTI5NjAwNDU3OS4xNzU5NzE0OTk2*_ga*MTQ1MTc0MjA0Ny4xNzU5NzE2MTUw*_ga_VED1YSGNC7*czE3NTk4Nzc0NjYkbzckZzEkdDE3NTk4Nzc0OTkkajI3JGwwJGgw&gatewayAdapt=glo2usa
Keycaps,23.52,https://www.aliexpress.us/item/3256809498920097.html?spm=a2g0o.productlist.main.8.70ad95Mf95MfMe&aem_p4p_detail=202510071600213606203789085640007618724&algo_pvid=a908f7d4-e929-4afa-aa37-0ae5a0d55faa&algo_exp_id=a908f7d4-e929-4afa-aa37-0ae5a0d55faa-7&pdp_ext_f=%7B%22order%22%3A%2211%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2142.93%2121.47%21%21%21304.88%21152.44%21%40210313e917598780212448583ea8fd%2112000049855202654%21sea%21US%216288248210%21X%211%210%21n_tag%3A-29919%3Bd%3Ad02c34d1%3Bm03_new_user%3A-29895&curPageLogUid=CjmMiOEVLpnw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009685234849%7C_p_origin_prod%3A&search_p4p_id=202510071600213606203789085640007618724_2
Stabs 2u,7,https://www.aliexpress.us/item/3256801654557883.html?spm=a2g0o.productlist.main.5.1f224b98iiMBez&algo_pvid=0f7b0e09-9fbc-4135-8584-88de498b9f23&algo_exp_id=0f7b0e09-9fbc-4135-8584-88de498b9f23-4&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.73%216.98%21%21%217.73%216.98%21%40210313e917598781316738958ea922%2112000017814370416%21sea%21US%216288248210%21X%211%210%21n_tag%3A-29919%3Bd%3Ad02c34d1%3Bm03_new_user%3A-29895&curPageLogUid=Skwv6Z5HaW7h&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001840872635%7C_p_origin_prod%3A
0.91 inch OLED,3,https://www.aliexpress.us/item/3256805123611667.html?spm=a2g0o.detail.0.0.66f6AmVOAmVORz&mp=1&pdp_npi=5%40dis%21USD%21USD%202.32%21USD%202.32%21%21USD%202.20%21%21%21%402101e9ec17598781882362206ef6d5%2112000032580162432%21ct%21US%216288248210%21%211%210&_gl=1*jv1o0n*_gcl_au*MTI5NjAwNDU3OS4xNzU5NzE0OTk2*_ga*NjcwNDQ4Nzc1LjE3NTk4NzgwMzM.*_ga_VED1YSGNC7*czE3NTk4NzgwMzIkbzEkZzEkdDE3NTk4NzgyMjYkajYwJGwwJGgw&gatewayAdapt=glo2usa
TRRS cable,4,https://www.aliexpress.us/item/3256805123611667.html?spm=a2g0o.detail.0.0.66f6AmVOAmVORz&mp=1&pdp_npi=5%40dis%21USD%21USD%202.32%21USD%202.32%21%21USD%202.20%21%21%21%402101e9ec17598781882362206ef6d5%2112000032580162432%21ct%21US%216288248210%21%211%210&_gl=1*jv1o0n*_gcl_au*MTI5NjAwNDU3OS4xNzU5NzE0OTk2*_ga*NjcwNDQ4Nzc1LjE3NTk4NzgwMzM.*_ga_VED1YSGNC7*czE3NTk4NzgwMzIkbzEkZzEkdDE3NTk4NzgyMjYkajYwJGwwJGgw&gatewayAdapt=glo2usa
TRRS cable breakout,3,https://www.aliexpress.us/item/3256808640204049.html?spm=a2g0o.detail.0.0.66f6AmVOAmVORz&mp=1&pdp_npi=5%40dis%21USD%21USD%204.90%21USD%202.45%21%21USD%202.43%21%21%21%402101e9ec17598781882362206ef6d5%2112000046841210835%21ct%21US%216288248210%21%211%210&_gl=1*dz6o4p*_gcl_au*MTI5NjAwNDU3OS4xNzU5NzE0OTk2*_ga*NjcwNDQ4Nzc1LjE3NTk4NzgwMzM.*_ga_VED1YSGNC7*czE3NTk4NzgwMzIkbzEkZzEkdDE3NTk4Nzg1MzgkajIyJGwwJGgw&gatewayAdapt=glo2usa
Total + tax,71.12,
